"Destination English Name","Country","State/Provence","Nearest City","Destination Official Name"
"Kanas Lake","China","Xinjiang","Altay","Kanas Lake"
"Tiger Leaping Gorge","China","Yunnan","Lijiang","Tiger Leaping Gorge"
"Mount Tai","China","Shandong","Tai an","Mount Tai"
"Shilin Stone Forest","China","Yunnan","Kunming","Shilin Stone Forest"
"Changbai Mountain","China","Jilin","Baishan","Changbai Mountain"
"Mount Wuyi","China","Fujian","Nanping","Mount Wuyi"
"Potatso National Park","China","Yunnan","Shangri-La","Potatso National Park"
"Kekexili Nature Reserve","China","Qinghai","Golmud","Kekexili Nature Reserve"
"Moon Hill","China","Guangxi","Yangshuo","Moon Hill"
"Drumsite (settlement)","Christmas Island","","Drumsite (settlement)","Drumsite (settlement)"
"Bantam (settlement)","Cocos (Keeling) Islands","","Bantam (settlement)","Bantam (settlement)"
"Bogotá","Colombia","","Bogotá","BOGOTA, D.C."
"Medellín","Colombia","","Medellín","Medellín"
"Cali","Colombia","","Cali","Cali"
"Barranquilla","Colombia","","Barranquilla","Barranquilla"
"Cartagena","Colombia","","Cartagena","Cartagena"
"Cúcuta","Colombia","","Cúcuta","Cúcuta"
"Bucaramanga","Colombia","","Bucaramanga","Bucaramanga"
"Ibagué","Colombia","","Ibagué","Ibagué"
"Soledad","Colombia","","Soledad","Soledad"
"Soacha","Colombia","","Soacha","Soacha"
"Santa Marta","Colombia","","Santa Marta","Santa Marta"
"Villavicencio","Colombia","","Villavicencio","Villavicencio"
"Bello","Colombia","","Bello","Bello"
"Pereira","Colombia","","Pereira","Pereira"
"Manizales","Colombia","","Manizales","Manizales"
"Pasto","Colombia","","Pasto","Pasto"
"Neiva","Colombia","","Neiva","Neiva"
"Valledupar","Colombia","","Valledupar","Valledupar"
"Buenaventura","Colombia","","Buenaventura","Buenaventura"
"Montería","Colombia","","Montería","Montería"
"Armenia","Colombia","","Armenia","Armenia"
"Floridablanca","Colombia","","Floridablanca","Floridablanca"
"Popayán","Colombia","","Popayán","Popayán"
"Palmira","Colombia","","Palmira","Palmira"
"Sincelejo","Colombia","","Sincelejo","Sincelejo"
"Itagüi","Colombia","","Itagüi","Itagüi"
"Barrancabermeja","Colombia","","Barrancabermeja","Barrancabermeja"
"Envigado","Colombia","","Envigado","Envigado"
"Dosquebradas","Colombia","","Dosquebradas","Dosquebradas"
"San Andres de Tumaco","Colombia","","San Andres de Tumaco","San Andres de Tumaco"
"Tuluá","Colombia","","Tuluá","Tuluá"
"Tunja","Colombia","","Tunja","Tunja"
"Riohacha","Colombia","","Riohacha","Riohacha"
"Turbo","Colombia","","Turbo","Turbo"
"Magangué","Colombia","","Magangué","Magangué"
"Florencia","Colombia","","Florencia","Florencia"
"Cartago","Colombia","","Cartago","Cartago"
"MORONI","Comoros","","MORONI","MORONI"
"Grande Comore (Njazidja)","Comoros","","Grande Comore (Njazidja)","Grande Comore (Njazidja)"
"Anjouan (Nzwani)","Comoros","","Anjouan (Nzwani)","Anjouan (Nzwani)"
"Moheli (Mwali)","Comoros","","Moheli (Mwali)","Moheli (Mwali)"
"Avarua","Cook Islands","","Avarua","RAROTONGA"
"San José","Costa Rica","","San José","SAN JOSE"
"Alajuela","Costa Rica","","Alajuela","Alajuela"
"Desamparados","Costa Rica","","Desamparados","Desamparados"
"San Carlos","Costa Rica","","San Carlos","San Carlos"
"Perez Zeledon","Costa Rica","","Perez Zeledon","Perez Zeledon"
"Pococi","Costa Rica","","Pococi","Pococi"
"Heredia","Costa Rica","","Heredia","Heredia"
"Goicoechea","Costa Rica","","Goicoechea","Goicoechea"
"Puntarenas","Costa Rica","","Puntarenas","Puntarenas"
"La Unión","Costa Rica","","La Unión","La Unión"
"Limón","Costa Rica","","Limón","Limón"
"Alajuelita","Costa Rica","","Alajuelita","Alajuelita"
"Pavas","Costa Rica","","Pavas","Pavas"
"Alfaro","Costa Rica","","Alfaro","Alfaro"
"Aserri","Costa Rica","","Aserri","Aserri"
"Atenas","Costa Rica","","Atenas","Atenas"
"ZAGREB","Croatia","","ZAGREB","ZAGREB"
"Split","Croatia","","Split","Split"
"Rijeka","Croatia","","Rijeka","Rijeka"
"Osijek","Croatia","","Osijek","Osijek"
"Antunovac","Croatia","","Antunovac","Antunovac"
"Baska","Croatia","","Baska","Baska"
"Baska Voda","Croatia","","Baska Voda","Baska Voda"
"Bedekovcina","Croatia","","Bedekovcina","Bedekovcina"
"Bestovje","Croatia","","Bestovje","Bestovje"
"Betina","Croatia","","Betina","Betina"
"Bibinje","Croatia","","Bibinje","Bibinje"
"Bizovac","Croatia","","Bizovac","Bizovac"
"Bjelovar","Croatia","","Bjelovar","Bjelovar"
"Bracevci","Croatia","","Bracevci","Bracevci"
"Brdovec","Croatia","","Brdovec","Brdovec"
"Bregana","Croatia","","Bregana","Bregana"
"Brela","Croatia","","Brela","Brela"
"Brsadin","Croatia","","Brsadin","Brsadin"
"Buje","Croatia","","Buje","Buje"
"Cabuna","Croatia","","Cabuna","Cabuna"
"Cavtat","Croatia","","Cavtat","Cavtat"
"Cepin","Croatia","","Cepin","Cepin"
"Cestica","Croatia","","Cestica","Cestica"
"Core","Croatia","","Core","Core"
"Crikvenica","Croatia","","Crikvenica","Crikvenica"
"Dalj","Croatia","","Dalj","Dalj"
"Darda","Croatia","","Darda","Darda"
"Delnice","Croatia","","Delnice","Delnice"
"Desinic","Croatia","","Desinic","Desinic"
"Donja Pusca","Croatia","","Donja Pusca","Donja Pusca"
"Donja Zelina","Croatia","","Donja Zelina","Donja Zelina"
"Donji Kraljevec","Croatia","","Donji Kraljevec","Donji Kraljevec"
"Dubrovnik","Croatia","","Dubrovnik","Dubrovnik"
"Dugo Selo","Croatia","","Dugo Selo","Dugo Selo"
"Fazana","Croatia","","Fazana","Fazana"
"Fuzine","Croatia","","Fuzine","Fuzine"
"Galgovo","Croatia","","Galgovo","Galgovo"
"Glina","Croatia","","Glina","Glina"
"Gornja Lomnica","Croatia","","Gornja Lomnica","Gornja Lomnica"
"Gornji Kriz","Croatia","","Gornji Kriz","Gornji Kriz"
"Gornji Stupnik","Croatia","","Gornji Stupnik","Gornji Stupnik"
"Hreljin","Croatia","","Hreljin","Hreljin"
"LA HABANA","Cuba","","LA HABANA","LA HABANA"
"Santiago de Cuba","Cuba","","Santiago de Cuba","Santiago de Cuba"
"Camagüey","Cuba","","Camagüey","Camagüey"
"Holguín","Cuba","","Holguín","Holguín"
"Guantánamo","Cuba","","Guantánamo","Guantánamo"
"Santa Clara","Cuba","","Santa Clara","Santa Clara"
"Las Tunas","Cuba","","Las Tunas","Las Tunas"
"Bayamo","Cuba","","Bayamo","Bayamo"
"Cienfuegos","Cuba","","Cienfuegos","Cienfuegos"
"Pinar del Río","Cuba","","Pinar del Río","Pinar del Río"
"Matanzas","Cuba","","Matanzas","Matanzas"
"Ciego de Avila","Cuba","","Ciego de Avila","Ciego de Avila"
"Sancti Spíritus","Cuba","","Sancti Spíritus","Sancti Spíritus"
"Habana","Cuba","","Habana","Habana"
"Havana","Cuba","","Havana","Havana"
"Varadero","Cuba","","Varadero","Varadero"
"Villa","Cuba","","Villa","Villa"
"Alquízar","Cuba","","Alquízar","Alquízar"
"Willemstad","Curaçao","","Willemstad","Willemstad"
"Agia Anna","Cyprus","","Agia Anna","Agia Anna"
"Aradippou","Cyprus","","Aradippou","Aradippou"
"Ayia Marina","Cyprus","","Ayia Marina","Ayia Marina"
"Chlorakas","Cyprus","","Chlorakas","Chlorakas"
"Deryneia","Cyprus","","Deryneia","Deryneia"
"Famagusta","Cyprus","","Famagusta","Famagusta"
"Geroskipou","Cyprus","","Geroskipou","Geroskipou"
"Kato Lakatamia","Cyprus","","Kato Lakatamia","Kato Lakatamia"
"Kato Polemidia","Cyprus","","Kato Polemidia","Kato Polemidia"
"Kiti","Cyprus","","Kiti","Kiti"
"Kyrenia","Cyprus","","Kyrenia","Kyrenia"
"Larnaca","Cyprus","","Larnaca","Larnaca"
"Laxia","Cyprus","","Laxia","Laxia"
"Limassol","Cyprus","","Limassol","Limassol"
"Livadia","Cyprus","","Livadia","Livadia"
"Morfou","Cyprus","","Morfou","Morfou"
"Mouttagiaka","Cyprus","","Mouttagiaka","Mouttagiaka"
"Nicosia","Cyprus","","Nicosia","Nicosia"
"Paphos","Cyprus","","Paphos","Paphos"
"Prague","Czechia","","Prague","PRAHA"
"Brno","Czechia","","Brno","Brno"
"Ostrava","Czechia","","Ostrava","Ostrava"
"Plzen","Czechia","","Plzen","Plzen"
"Liberec","Czechia","","Liberec","Liberec"
"Olomouc","Czechia","","Olomouc","Olomouc"
"Ústí nad Labem","Czechia","","Ústí nad Labem","Ústí nad Labem"
"Hradec Králové","Czechia","","Hradec Králové","Hradec Králové"
"Adamov","Czechia","","Adamov","Adamov"
"Albrechtice","Czechia","","Albrechtice","Albrechtice"
"Arnoltice","Czechia","","Arnoltice","Arnoltice"
"As","Czechia","","As","As"
"Babice","Czechia","","Babice","Babice"
"Banov","Czechia","","Banov","Banov"
"Baska","Czechia","","Baska","Baska"
"Batelov","Czechia","","Batelov","Batelov"
"Bavory","Czechia","","Bavory","Bavory"
"Bechyne","Czechia","","Bechyne","Bechyne"
"Bela pod Bezdezem","Czechia","","Bela pod Bezdezem","Bela pod Bezdezem"
"Belotin","Czechia","","Belotin","Belotin"
"Benatky nad Jizerou","Czechia","","Benatky nad Jizerou","Benatky nad Jizerou"
"Benesov","Czechia","","Benesov","Benesov"
"Benesovice","Czechia","","Benesovice","Benesovice"
"Bernartice","Czechia","","Bernartice","Bernartice"
"Bernartice nad Odrou","Czechia","","Bernartice nad Odrou","Bernartice nad Odrou"
"Beroun","Czechia","","Beroun","Beroun"
"Bezdekov","Czechia","","Bezdekov","Bezdekov"
"Bilina","Czechia","","Bilina","Bilina"
"Bilovice","Czechia","","Bilovice","Bilovice"
"Bilovice nad Svitavou","Czechia","","Bilovice nad Svitavou","Bilovice nad Svitavou"
"Bitovany","Czechia","","Bitovany","Bitovany"
"Blansko","Czechia","","Blansko","Blansko"
"Blatna","Czechia","","Blatna","Blatna"
"Blizevedly","Czechia","","Blizevedly","Blizevedly"
"Blovice","Czechia","","Blovice","Blovice"
"Blucina","Czechia","","Blucina","Blucina"
"Bludov","Czechia","","Bludov","Bludov"
"Bludovice","Czechia","","Bludovice","Bludovice"
"Bochov","Czechia","","Bochov","Bochov"
"Bohumin","Czechia","","Bohumin","Bohumin"
"Bohunovice","Czechia","","Bohunovice","Bohunovice"
"Bojanov","Czechia","","Bojanov","Bojanov"
"Bojkovice","Czechia","","Bojkovice","Bojkovice"
"Bolatice","Czechia","","Bolatice","Bolatice"
"Bolebor","Czechia","","Bolebor","Bolebor"
"Bor","Czechia","","Bor","Bor"
"Boretice","Czechia","","Boretice","Boretice"
"Borohradek","Czechia","","Borohradek","Borohradek"
"Borotin","Czechia","","Borotin","Borotin"
"Borovany","Czechia","","Borovany","Borovany"
"Borsice","Czechia","","Borsice","Borsice"
"Bosin","Czechia","","Bosin","Bosin"
"Boskovice","Czechia","","Boskovice","Boskovice"
"Bradlec","Czechia","","Bradlec","Bradlec"
"Brandys nad Labem-Stara Boleslav","Czechia","","Brandys nad Labem-Stara Boleslav","Brandys nad Labem-Stara Boleslav"
"Copenhagen","Denmark","","Copenhagen","KOBENHAVN"
"Århus","Denmark","","Århus","Århus"
"Ålborg","Denmark","","Ålborg","Ålborg"
"Odense","Denmark","","Odense","Odense"
"Esbjerg","Denmark","","Esbjerg","Esbjerg"
"Vejle","Denmark","","Vejle","Vejle"
"Frederiksberg","Denmark","","Frederiksberg","Frederiksberg"
"Aabenraa","Denmark","","Aabenraa","Aabenraa"
"Aabybro","Denmark","","Aabybro","Aabybro"
"Aalborg","Denmark","","Aalborg","Aalborg"
"Aarhus","Denmark","","Aarhus","Aarhus"
"Aars","Denmark","","Aars","Aars"
"Abyhoj","Denmark","","Abyhoj","Abyhoj"
"Agedrup","Denmark","","Agedrup","Agedrup"
"Agerbaek","Denmark","","Agerbaek","Agerbaek"
"Agerskov","Denmark","","Agerskov","Agerskov"
"Akirkeby","Denmark","","Akirkeby","Akirkeby"
"Albaek","Denmark","","Albaek","Albaek"
"Albertslund","Denmark","","Albertslund","Albertslund"
"Ale","Denmark","","Ale","Ale"
"Alestrup","Denmark","","Alestrup","Alestrup"
"Aller","Denmark","","Aller","Aller"
"Allerod","Denmark","","Allerod","Allerod"
"Allingabro","Denmark","","Allingabro","Allingabro"
"Allinge","Denmark","","Allinge","Allinge"
"Almind","Denmark","","Almind","Almind"
"Alsgarde","Denmark","","Alsgarde","Alsgarde"
"Alslev","Denmark","","Alslev","Alslev"
"Anholt","Denmark","","Anholt","Anholt"
"Ans","Denmark","","Ans","Ans"
"Ansager","Denmark","","Ansager","Ansager"
"Arden","Denmark","","Arden","Arden"
"Arre","Denmark","","Arre","Arre"
"Arslev","Denmark","","Arslev","Arslev"
"Arup","Denmark","","Arup","Arup"
"Asa","Denmark","","Asa","Asa"
"Askeby","Denmark","","Askeby","Askeby"
"Ali Sabih","Djibouti","","Ali Sabih","Ali Sabih"
"Dikhil","Djibouti","","Dikhil","Dikhil"
"Djibouti","Djibouti","","Djibouti","Djibouti"
"Obock","Djibouti","","Obock","Obock"
"Tadjoura","Djibouti","","Tadjoura","Tadjoura"
"'Ali Sabieh","Djibouti","","'Ali Sabieh","'Ali Sabieh"
"Goubétto","Djibouti","","Goubétto","Goubétto"
"Roseau","Dominica","","Roseau","SANTO DOMINGO"
"Santo Domingo East","Dominica","","Santo Domingo East","Santo Domingo East"
"Santiago de los Caballeros","Dominica","","Santiago de los Caballeros","Santiago de los Caballeros"
"Santo Domingo North","Dominica","","Santo Domingo North","Santo Domingo North"
"Santo Domingo West","Dominica","","Santo Domingo West","Santo Domingo West"
"SANTO DOMINGO","Dominican Republic","","SANTO DOMINGO","SANTO DOMINGO"
"Santo Domingo East","Dominican Republic","","Santo Domingo East","Santo Domingo East"
"Santiago de los Caballeros","Dominican Republic","","Santiago de los Caballeros","Santiago de los Caballeros"
"Santo Domingo North","Dominican Republic","","Santo Domingo North","Santo Domingo North"
"Santo Domingo West","Dominican Republic","","Santo Domingo West","Santo Domingo West"
"Los Alcarrizos","Dominican Republic","","Los Alcarrizos","Los Alcarrizos"
"San Pedro de Macoris","Dominican Republic","","San Pedro de Macoris","San Pedro de Macoris"
"Higüey","Dominican Republic","","Higüey","Higüey"
"San Cristóbal","Dominican Republic","","San Cristóbal","San Cristóbal"
"San Francisco de Macoris","Dominican Republic","","San Francisco de Macoris","San Francisco de Macoris"
"La Romana","Dominican Republic","","La Romana","La Romana"
"Puerto Plata","Dominican Republic","","Puerto Plata","Puerto Plata"
"La Vega","Dominican Republic","","La Vega","La Vega"
"Boca Chica","Dominican Republic","","Boca Chica","Boca Chica"
"Baní","Dominican Republic","","Baní","Baní"
"San Juan de la Maguana","Dominican Republic","","San Juan de la Maguana","San Juan de la Maguana"
"Bonao","Dominican Republic","","Bonao","Bonao"
"Bajos de Haina","Dominican Republic","","Bajos de Haina","Bajos de Haina"
"Moca","Dominican Republic","","Moca","Moca"
"Azua","Dominican Republic","","Azua","Azua"
"Arenazo","Dominican Republic","","Arenazo","Arenazo"
"Kinshasa","DR Congo","","Kinshasa","Kinshasa"
"Guayaquil","Ecuador","","Guayaquil","Guayaquil"
"QUITO","Ecuador","","QUITO","QUITO"
"Cuenca","Ecuador","","Cuenca","Cuenca"
"Santa Elena","Ecuador","","Santa Elena","Santa Elena"
"Machala","Ecuador","","Machala","Machala"
"Durán","Ecuador","","Durán","Durán"
"Santo Domingo de los Colorados","Ecuador","","Santo Domingo de los Colorados","Santo Domingo de los Colorados"
"Portoviejo","Ecuador","","Portoviejo","Portoviejo"
"Manta","Ecuador","","Manta","Manta"
"Loja","Ecuador","","Loja","Loja"
"Ambato","Ecuador","","Ambato","Ambato"
"Esmeraldas","Ecuador","","Esmeraldas","Esmeraldas"
"Quevedo","Ecuador","","Quevedo","Quevedo"
"Riobamba","Ecuador","","Riobamba","Riobamba"
"Calderon","Ecuador","Carapungo","Calderon","Calderon"
"Milagro","Ecuador","","Milagro","Milagro"
"Ibarra","Ecuador","","Ibarra","Ibarra"
"Babahoyo","Ecuador","","Babahoyo","Babahoyo"
"Atacames","Ecuador","","Atacames","Atacames"
"Atuntaqui","Ecuador","","Atuntaqui","Atuntaqui"
"Bahia de Caraquez","Ecuador","","Bahia de Caraquez","Bahia de Caraquez"
"Banos","Ecuador","","Banos","Banos"
"Cayambe","Ecuador","","Cayambe","Cayambe"
"Daule","Ecuador","","Daule","Daule"
"El Carmen","Ecuador","","El Carmen","El Carmen"
"CAIRO","Egypt","","CAIRO","CAIRO"
"Alexandria","Egypt","","Alexandria","Alexandria"
"Giza","Egypt","","Giza","Giza"
"Shubra-El-Khema","Egypt","","Shubra-El-Khema","Shubra-El-Khema"
"Port Said","Egypt","","Port Said","Port Said"
"Imbaba","Egypt","","Imbaba","Imbaba"
"Suez","Egypt","","Suez","Suez"
"El-Mahalla El-Kubra","Egypt","","El-Mahalla El-Kubra","El-Mahalla El-Kubra"
"Mansûra","Egypt","","Mansûra","Mansûra"
"Tanta","Egypt","","Tanta","Tanta"
"Assyût","Egypt","","Assyût","Assyût"
"Faiyûm","Egypt","","Faiyûm","Faiyûm"
"Zagazig","Egypt","","Zagazig","Zagazig"
"Ismailia","Egypt","","Ismailia","Ismailia"
"El-Khosos","Egypt","","El-Khosos","El-Khosos"
"Aswan","Egypt","","Aswan","Aswan"
"Damanhûr","Egypt","","Damanhûr","Damanhûr"
"Menia","Egypt","","Menia","Menia"
"Damietta","Egypt","","Damietta","Damietta"
"Luxer","Egypt","","Luxer","Luxer"
"Kena","Egypt","","Kena","Kena"
"Beni-Suef","Egypt","","Beni-Suef","Beni-Suef"
"Sohag","Egypt","","Sohag","Sohag"
"Shebin-El-Kom","Egypt","","Shebin-El-Kom","Shebin-El-Kom"
"Banha","Egypt","","Banha","Banha"
"6th of October City","Egypt","","6th of October City","6th of October City"
"Malawe","Egypt","","Malawe","Malawe"
"El-Aresh","Egypt","","El-Aresh","El-Aresh"
"Bilbes","Egypt","","Bilbes","Bilbes"
"Ramadan","Egypt","","Ramadan","Ramadan"
"Met Ghamr","Egypt","","Met Ghamr","Met Ghamr"
"Kafr-El-Dwar","Egypt","","Kafr-El-Dwar","Kafr-El-Dwar"
"Matrouh","Egypt","","Matrouh","Matrouh"
"El-Hwamdia","Egypt","","El-Hwamdia","El-Hwamdia"
"Kaluop","Egypt","","Kaluop","Kaluop"
"Desok","Egypt","","Desok","Desok"
"Abo Keber","Egypt","","Abo Keber","Abo Keber"
"Gerga","Egypt","","Gerga","Gerga"
"Akhmim","Egypt","","Akhmim","Akhmim"
"El-Mataria","Egypt","","El-Mataria","El-Mataria"
"Al Orizah","Egypt","","Al Orizah","Al Orizah"
"Abu Hammad","Egypt","","Abu Hammad","Abu Hammad"
"Al Mahallah al Kubra","Egypt","","Al Mahallah al Kubra","Al Mahallah al Kubra"
"Al Mansurah","Egypt","","Al Mansurah","Al Mansurah"
"Al Marj","Egypt","","Al Marj","Al Marj"
"Almazah","Egypt","","Almazah","Almazah"
"Ar Rawdah","Egypt","","Ar Rawdah","Ar Rawdah"
"Assiut","Egypt","","Assiut","Assiut"
"Az Zamalik","Egypt","","Az Zamalik","Az Zamalik"
"Badr","Egypt","","Badr","Badr"
"Bani Suwayf","Egypt","","Bani Suwayf","Bani Suwayf"
"Faraskur","Egypt","","Faraskur","Faraskur"
"Flaminj","Egypt","","Flaminj","Flaminj"
"Heliopolis","Egypt","","Heliopolis","Heliopolis"
"Helwan","Egypt","","Helwan","Helwan"
"Hurghada","Egypt","","Hurghada","Hurghada"
"Kafr ash Shaykh","Egypt","","Kafr ash Shaykh","Kafr ash Shaykh"
"Luxor","Egypt","","Luxor","Luxor"
"SAN SALVADOR","El Salvador","","SAN SALVADOR","SAN SALVADOR"
"Soyapango","El Salvador","","Soyapango","Soyapango"
"Santa Ana","El Salvador","","Santa Ana","Santa Ana"
"San Miguel","El Salvador","","San Miguel","San Miguel"
"Apopa","El Salvador","","Apopa","Apopa"
"Mejicanos","El Salvador","","Mejicanos","Mejicanos"
"Santa Tecla","El Salvador","","Santa Tecla","Santa Tecla"
"Ciudad Delgado","El Salvador","","Ciudad Delgado","Ciudad Delgado"
"Ilopango","El Salvador","","Ilopango","Ilopango"
"Ahuachapan","El Salvador","","Ahuachapan","Ahuachapan"
"Cuscatancingo","El Salvador","","Cuscatancingo","Cuscatancingo"
"San Martin","El Salvador","","San Martin","San Martin"
"Sonsonate","El Salvador","","Sonsonate","Sonsonate"
"Ciudad de la Paz","Equatorial Guinea","","Ciudad de la Paz","MALABO"
"Annobon","Equatorial Guinea","","Annobon","Annobon"
"Bioko Norte","Equatorial Guinea","","Bioko Norte","Bioko Norte"
"Bioko Sur","Equatorial Guinea","","Bioko Sur","Bioko Sur"
"Centro Sur","Equatorial Guinea","","Centro Sur","Centro Sur"
"Kie-Ntem","Equatorial Guinea","","Kie-Ntem","Kie-Ntem"
"ASMARA","Eritrea","","ASMARA","ASMARA"
"Anseba","Eritrea","","Anseba","Anseba"
"Debub","Eritrea","","Debub","Debub"
"Debubawi K'eyih Bahri","Eritrea","","Debubawi K'eyih Bahri","Debubawi K'eyih Bahri"
"Gash Barka","Eritrea","","Gash Barka","Gash Barka"
"Ma'akel","Eritrea","","Ma'akel","Ma'akel"
"Semenawi Keyih Bahri","Eritrea","","Semenawi Keyih Bahri","Semenawi Keyih Bahri"
"Keren","Eritrea","","Keren","Keren"
"Adi Keyh","Eritrea","","Adi Keyh","Adi Keyh"
"Dek’emhāre","Eritrea","","Dek’emhāre","Dek’emhāre"
"Mendefera","Eritrea","","Mendefera","Mendefera"
"Ak’ordat","Eritrea","","Ak’ordat","Ak’ordat"
"TALLINN","Estonia","","TALLINN","TALLINN"
"Tartu","Estonia","","Tartu","Tartu"
"Aasmae","Estonia","","Aasmae","Aasmae"
"Aaviku","Estonia","","Aaviku","Aaviku"
"Aespa","Estonia","","Aespa","Aespa"
"Ahtma","Estonia","","Ahtma","Ahtma"
"Alliku","Estonia","","Alliku","Alliku"
"Ambla","Estonia","","Ambla","Ambla"
"Antsla","Estonia","","Antsla","Antsla"
"Ardu","Estonia","","Ardu","Ardu"
"Avinurme","Estonia","","Avinurme","Avinurme"
"Elva","Estonia","","Elva","Elva"
"Emmaste","Estonia","","Emmaste","Emmaste"
"Haabneeme","Estonia","","Haabneeme","Haabneeme"
"Haage","Estonia","","Haage","Haage"
"Haapsalu","Estonia","","Haapsalu","Haapsalu"
"Mbabane","Eswatini","","Mbabane","Mbabane"
"Addis Ababa","Ethiopia","","Addis Ababa","Addis Ababa"
"Afar","Ethiopia","","Afar","Afar"
"Amhara","Ethiopia","","Amhara","Amhara"
"Binshangul Gumuz","Ethiopia","","Binshangul Gumuz","Binshangul Gumuz"
"Dire Dawa","Ethiopia","","Dire Dawa","Dire Dawa"
"Gambela Hizboch","Ethiopia","","Gambela Hizboch","Gambela Hizboch"
"Harari","Ethiopia","","Harari","Harari"
"Oromia","Ethiopia","","Oromia","Oromia"
"Somali","Ethiopia","","Somali","Somali"
"Tigray","Ethiopia","","Tigray","Tigray"
"Southern Nations, Nationalities, and Peoples Region","Ethiopia","","Southern Nations, Nationalities, and Peoples Region","Southern Nations, Nationalities, and Peoples Region"
"Asaita","Ethiopia","","Asaita","Asaita"
"Āwash","Ethiopia","","Āwash","Āwash"
"Dubti","Ethiopia","","Dubti","Dubti"
"Gewane","Ethiopia","","Gewane","Gewanē"
"Semera","Ethiopia","","Semera","Semera"
"Abomsa","Ethiopia","","Abomsa","Abomsa"
"Addiet Canna","Ethiopia","","Addiet Canna","Addiet Canna"
"Ādīs Zemen","Ethiopia","","Ādīs Zemen","Ādīs Zemen"
"Bahir Dar","Ethiopia","","Bahir Dar","Bahir Dar"
"Batī","Ethiopia","","Batī","Batī"
"Bichena","Ethiopia","","Bichena","Bichena"
"Burē","Ethiopia","","Burē","Burē"
"Dabat","Ethiopia","","Dabat","Dabat"
"Debark’","Ethiopia","","Debark’","Debark’"
"Debre Birhan","Ethiopia","","Debre Birhan","Debre Birhan"
"Debre Mark’os","Ethiopia","","Debre Mark’os","Debre Mark’os"
"Debre Sīna","Ethiopia","","Debre Sīna","Debre Sīna"
"Debre Tabor","Ethiopia","","Debre Tabor","Debre Tabor"
"Debre Werk’","Ethiopia","","Debre Werk’","Debre Werk’"
"Dejen","Ethiopia","","Dejen","Dejen"
"Desē","Ethiopia","","Desē","Desē"
"Finote Selam","Ethiopia","","Finote Selam","Finote Selam"
"Gondar","Ethiopia","","Gondar","Gondar"
"Kemisē","Ethiopia","","Kemisē","Kemisē"
"Kombolcha","Ethiopia","","Kombolcha","Kombolcha"
"Lalibela","Ethiopia","","Lalibela","Lalībela"
"North Shewa Zone (Amhara)","Ethiopia","","North Shewa Zone (Amhara)","North Shewa Zone"
"STANLEY","Falkland Islands","","STANLEY","STANLEY"
"Ajax Bay","Falkland Islands","","Ajax Bay","Ajax Bay"
"Beaver Settlement","Falkland Islands","","Beaver Settlement","Beaver Settlement"
"Argir","Faroe Islands","","Argir","Argir"
"Glyvrar","Faroe Islands","","Glyvrar","Glyvrar"
"Suva (insurer)","Fiji","","Suva (insurer)","SUVA"
"Central (Suva)","Fiji","","Central (Suva)","Central (Suva)"
"Eastern (Levuka)","Fiji","","Eastern (Levuka)","Eastern (Levuka)"
"Northern (Labasa)","Fiji","","Northern (Labasa)","Northern (Labasa)"
"Rotuma","Fiji","","Rotuma","Rotuma"
"Western (Lautoka)","Fiji","","Western (Lautoka)","Western (Lautoka)"
"HELSINKI","Finland","","HELSINKI","HELSINKI"
"Espoo","Finland","","Espoo","Espoo"
"Tampere","Finland","","Tampere","Tampere"
"Vantaa","Finland","","Vantaa","Vantaa"
"Oulu","Finland","","Oulu","Oulu"
"Turku","Finland","","Turku","Turku"
"Jyvaskyla","Finland","","Jyvaskyla","Jyvaskyla"
"Kuopio","Finland","","Kuopio","Kuopio"
"Lahti","Finland","","Lahti","Lahti"
"Aapajoki","Finland","","Aapajoki","Aapajoki"
"Aavasaksa","Finland","","Aavasaksa","Aavasaksa"
"Aitoo","Finland","","Aitoo","Aitoo"
"Akaa","Finland","","Akaa","Akaa"
"Alastaro","Finland","","Alastaro","Alastaro"
"Alaveteli","Finland","","Alaveteli","Alaveteli"
"Alavieska","Finland","","Alavieska","Alavieska"
"Alavus","Finland","","Alavus","Alavus"
"Alvettula","Finland","","Alvettula","Alvettula"
"Angelniemi","Finland","","Angelniemi","Angelniemi"
"Anjala","Finland","","Anjala","Anjala"
"Anttila","Finland","","Anttila","Anttila"
"Paris","France","Ile-de-France","Paris","Paris"
"Versailles","France","Ile-de-France","Versailles","Chateau de Versailles"
"Lyon","France","Auvergne-Rhone-Alpes","Lyon","Lyon"
"Marseille","France","Provence-Alpes-Cote dAzur","Marseille","Marseille"
"Nice","France","Provence-Alpes-Cote dAzur","Nice","Nice"
"French Riviera","France","Provence-Alpes-Cote dAzur","Nice","Cote dAzur"
"Bordeaux","France","Nouvelle-Aquitaine","Bordeaux","Bordeaux"
"Mont Saint-Michel","France","Normandy","Pontorson","Mont-Saint-Michel"
"Loire Valley","France","Centre-Val de Loire","Tours","Vallee de la Loire"
"Strasbourg","France","Grand Est","Strasbourg","Strasbourg"
"Chamonix","France","Auvergne-Rhone-Alpes","Chamonix-Mont-Blanc","Chamonix"
"Avignon","France","Provence-Alpes-Cote dAzur","Avignon","Avignon"
"Annecy","France","Auvergne-Rhone-Alpes","Annecy","Annecy"
"Carcassonne","France","Occitanie","Carcassonne","Carcassonne"
"Saint-Malo","France","Brittany","Saint-Malo","Saint-Malo"
